a,b,c,d,,,,,,P11881
3l4u,2010,Q6ST21,MALTASE-GLUCOAMYLASE,,,,,,F6BL85
1kc7,2002,P07379,PYRUVATE PHOSPHATE DIKINASE,,,,,,806
5nn5,2017,P00720,LYSOSOMAL ALPHA-GLUCOSIDASE,,,,,,P15917
5nn6,2017,P31335,LYSOSOMAL ALPHA-GLUCOSIDASE,,,,,,809
5gsa,2017,P0A6Y8,POLYCOMB PROTEIN EED,,,,,,P31434
5wuk,2017,Q10714,POLYCOMB PROTEIN EED,,,,,,772
4cu8,2014,P03951,GLYCOSIDE HYDROLASE 2,,,,,,P27487
4cu7,2014,Q9XEI3,BETA-GALACTOSIDASE,,,,,,766
2vo5,2008,P05804,BETA-MANNOSIDASE,,,,,,Q53TN1
2vjx,2008,B6YU74,BETA-MANNOSIDASE,,,,,,766
2vmf,2008,P06276,BETA-MANNOSIDASE,,,,,,Q8TEQ6
2vqt,2008,Q02834,BETA-MANNOSIDASE,,,,,,1508
2vl4,2008,P31939,BETA-MANNOSIDASE,,,,,,P02928
2vot,2008,Q9AYY6,BETA-MANNOSIDASE,,,,,,0
3ebo,2009,Q0TR53,GLYCOGEN PHOSPHORYLASE,,,,,,Q8A0N1
3ebp,2009,Q8XL08,GLYCOGEN PHOSPHORYLASE,,,,,,755
3qfz,2011,P22966,CELLOBIOSE PHOSPHORYLASE,,,,,,Q04609
3qfy,2011,A2RJ53,CELLOBIOSE PHOSPHORYLASE,,,,,,750
4iie,2013,Q9Z4P9,BETA-GLUCOSIDASE 1,,,,,,P71094
4iic,2013,O57728,BETA-GLUCOSIDASE 1,,,,,,738
4iif,2013,O00763,BETA-GLUCOSIDASE 1,,,,,,Q89ZI2
4iid,2013,P97612,BETA-GLUCOSIDASE 1,,,,,,737
4b9z,2012,P04058,"ALPHA-GLUCOSIDASE, ADG31B",,,,,,P19801
1jzs,2001,P02768,ISOLEUCYL-TRNA SYNTHETASE,,,,,,751
5gmh,2016,Q99AU2,TOLL-LIKE RECEPTOR 7,,,,,,P22411
4r0a,2015,O92972,TOLL-LIKE RECEPTOR 8,,,,,,766
5wyx,2017,Q9AMP1,TOLL-LIKE RECEPTOR 8,,,,,,Q9NY33
5wyz,2017,P22303,TOLL-LIKE RECEPTOR 8,,,,,,737
3hu3,2010,P26664,TRANSITIONAL ENDOPLASMIC RETICULUM ATPASE,,,,,,Q09161
4ko8,2013,P21836,TRANSITIONAL ENDOPLASMIC RETICULUM ATPASE,,,,,,790
5ost,2018,P35747,GLUCOSYLCERAMIDASE,,,,,,O15294
1yqy,2005,Q9WMX2,LETHAL FACTOR,,,,,,1046
4dv8,2012,Q06GJ0,LETHAL FACTOR,,,,,,Q9Y3Q0
2f2h,2006,Q10471,PUTATIVE FAMILY 31 GLUCOSIDASE YICI,,,,,,740
1n1m,2002,Q9F4L3,DIPEPTIDYL PEPTIDASE 4,,,,,,Q54727
2ole,2008,Q14416,DIPEPTIDYL PEPTIDASE 4,,,,,,697
4lko,2013,P14618,DIPEPTIDYL PEPTIDASE 4,,,,,,P08473
3sww,2011,P04585,DIPEPTIDYL PEPTIDASE 4,,,,,,750
2oag,2007,P06745,DIPEPTIDYL PEPTIDASE 4,,,,,,Q9L1K2
3nox,2010,Q4W803,DIPEPTIDYL PEPTIDASE 4,,,,,,675
5kby,2016,P34913,DIPEPTIDYL PEPTIDASE 4,,,,,,P32477
4jh0,2013,P28327,DIPEPTIDYL PEPTIDASE 4,,,,,,678
6f92,2018,O43614,"PUTATIVE ALPHA-1,2-MANNOSIDASE",,,,,,Q5SHN5
5tef,2016,Q9N1E2,GEM-ASSOCIATED PROTEIN 5,,,,,,691
1ez9,2002,D0VX20,MALTOSE-BINDING PERIPLASMIC PROTEIN,,,,,,P26663
2wzs,2009,P06875,"PUTATIVE ALPHA-1,2-MANNOSIDASE",,,,,,3010
2wvz,2009,Q2PS28,"PUTATIVE ALPHA-1,2-MANNOSIDASE",,,,,,P23254
4oc0,2014,Q06124,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,680
4oc1,2014,P17109,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,P32589
4oc5,2014,P16154,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,693
4ngn,2014,Q06135,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,O32462
3sjf,2011,Q00955,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,659
4ngp,2014,P11142,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,Q07343
3iww,2009,P19120,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,736
4oc2,2014,P00959,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,G0SEG4
4oc3,2014,P08659,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,1485
2xej,2010,Q386Q8,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,P54818
3rbu,2012,A6XFF7,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,684
2xef,2010,G4FEC0,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,C1CH75
4ngm,2014,B2HVG8,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,626
2xei,2010,Q9X0V0,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,Q14397
2xeg,2010,Q2I2N4,GLUTAMATE CARBOXYPEPTIDASE 2,,,,,,625
2jkp,2008,A7Y7W1,ALPHA-GLUCOSIDASE SUSB,,,,,,P43405
2jke,2008,Q9SPP9,ALPHA-GLUCOSIDASE SUSB,,,,,,635
2zq0,2008,B3PBE0,ALPHA-GLUCOSIDASE SUSB,,,,,,P09960
2w66,2009,O52575,O-GLCNACASE BT_4395,,,,,,611
2jiw,2007,O75191,O-GLCNACASE BT_4395,,,,,,Q6IAT6
2xm2,2011,P00523,O-GLCNACASE BT_4395,,,,,,611
2w4x,2009,P12931,O-GLCNACASE BT_4395,,,,,,A0R618
2w67,2009,P13482,O-GLCNACASE BT_4395,,,,,,630
2xm1,2011,P16098,O-GLCNACASE BT_4395,,,,,,P12821
2j47,2006,P20906,O-GLCNACASE BT_4395,,,,,,1306
2wca,2009,K7AGW3,O-GLCNACASE BT_4395,,,,,,Q6ST21
2j4g,2007,Q86W56,O-GLCNACASE BT_4395,,,,,,627
2xj7,2010,Q8IL11,O-GLCNACASE BT_4395,,,,,,P07379
2vvn,2008,A0A024,O-GLCNACASE BT_4395,,,,,,622
2vvs,2008,P52293,O-GLCNACASE BT_4395,,,,,,P00720
3hig,2009,Q8A1G2,AMILORIDE-SENSITIVE AMINE OXIDASE,,,,,,164
2aj8,2006,Q9Z4X2,DIPEPTIDYL PEPTIDASE 4,,,,,,P31335
6f90,2018,Q5ZVS2,"ALPHA-1,2-MANNOSIDASE, PUTATIVE",,,,,,593
5e3a,2016,D0VX21,DIPEPTIDYL PEPTIDASE 3,,,,,,P0A6Y8
3t6b,2012,Q80J95,DIPEPTIDYL PEPTIDASE 3,,,,,,638
1h2t,2002,Q1A2D0,80 KDA NUCLEAR CAP BINDING PROTEIN,,,,,,Q10714
6ma2,2018,P23843,UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N,,,,,,615
6ma4,2018,B8F653,UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N,,,,,,P03951
6ma5,2018,O67854,UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N,,,,,,625
6ma3,2018,P77348,UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N,,,,,,Q9XEI3
3ff3,2009,Q07820,GLUTAMATE CARBOXYPEPTIDASE 3,,,,,,630
3fee,2009,P06202,GLUTAMATE CARBOXYPEPTIDASE 3,,,,,,P05804
3fed,2009,Q14832,GLUTAMATE CARBOXYPEPTIDASE 3,,,,,,603
2vw2,2008,P05091,SIALIDASE B,,,,,,B6YU74
2vw1,2008,A7LXT8,SIALIDASE B,,,,,,635
1r1j,2004,A9SS48,NEPRILYSIN,,,,,,P06276
1r1h,2004,O85361,NEPRILYSIN,,,,,,602
5vsj,2017,Q9Y691,"ALPHA-1,4-GLUCAN:MALTOSE-1-PHOSPHATE MALTOSYLTRANSFERASE 1",,,,,,Q02834
3lvw,2010,Q67296,GLUTAMATE-CYSTEINE LIGASE,,,,,,647
1dar,1996,P04062,ELONGATION FACTOR G,,,,,,P31939
4b76,2012,P11797,SERINE PROTEASE NS3,,,,,,592
4b73,2012,Q54276,SERINE PROTEASE NS3,,,,,,Q9AYY6
4b74,2012,B5ABY0,SERINE PROTEASE NS3,,,,,,710
6eq1,2018,P29736,PERIPLASMIC ALPHA-GALACTOSIDE-BINDING PROTEIN,,,,,,Q0TR53
6epy,2018,P43490,PERIPLASMIC ALPHA-GALACTOSIDE-BINDING PROTEIN,,,,,,1001
6epz,2018,P56817,PERIPLASMIC ALPHA-GALACTOSIDE-BINDING PROTEIN,,,,,,Q8XL08
6eq8,2018,Q52012,PERIPLASMIC ALPHA-GALACTOSIDE-BINDING PROTEIN,,,,,,1001
1tkb,1994,Q7D2F4,TRANSKETOLASE,,,,,,P22966
3d2e,2008,P00690,HEAT SHOCK PROTEIN HOMOLOG SSE1,,,,,,1306
1k1y,2003,P04746,4-ALPHA-GLUCANOTRANSFERASE,,,,,,A2RJ53
1ro6,2004,O60701,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 4B",,,,,,600
3o56,2011,Q0P844,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 4B",,,,,,Q9Z4P9
6faa,2018,B2DJD9,PUTATIVE MRNA SPLICING FACTOR,,,,,,589
4ufl,2015,P41594,GALACTOCEREBROSIDASE,,,,,,O57728
4ufm,2015,O50260,GALACTOCEREBROSIDASE,,,,,,964
4ufk,2015,Q5M4H8,GALACTOCEREBROSIDASE,,,,,,O00763
4ufj,2015,O14842,GALACTOCEREBROSIDASE,,,,,,2458
4ufi,2015,Q944H0,GALACTOCEREBROSIDASE,,,,,,P97612
4ufh,2015,Q9KWT6,GALACTOCEREBROSIDASE,,,,,,579
5a6k,2015,P22498,GH20C,,,,,,P04058
4bb9,2013,O00255,GLUCOKINASE REGULATORY PROTEIN,,,,,,586
4ly9,2013,Q9WAF5,GLUCOKINASE REGULATORY PROTEIN,,,,,,P02768
4fl1,2012,P00727,TYROSINE-PROTEIN KINASE SYK,,,,,,609
4fl2,2012,Q97S37,TYROSINE-PROTEIN KINASE SYK,,,,,,Q99AU2
3fqe,2009,P01112,TYROSINE-PROTEIN KINASE SYK,,,,,,3010
4l2l,2014,P24182,LEUKOTRIENE A-4 HYDROLASE,,,,,,O92972
3fh7,2010,Q9BJF5,LEUKOTRIENE A-4 HYDROLASE,,,,,,3010
3b7r,2008,P12955,LEUKOTRIENE A-4 HYDROLASE,,,,,,Q9AMP1
3b7u,2008,Q7VL18,LEUKOTRIENE A-4 HYDROLASE,,,,,,850
2r59,2008,P0ABE7,LEUKOTRIENE A-4 HYDROLASE,,,,,,P22303
2vj8,2008,P00349,LEUKOTRIENE A-4 HYDROLASE,,,,,,614
5d6j,2016,P19971,ACYL-COA SYNTHASE,,,,,,P26664
4ca6,2013,P04995,ANGIOTENSIN-CONVERTING ENZYME,,,,,,3011
6f9v,2018,P09958,ANGIOTENSIN-CONVERTING ENZYME,,,,,,P21836
2xyd,2011,O33853,ANGIOTENSIN-CONVERTING ENZYME,,,,,,614
6en5,2017,Q75I93,ANGIOTENSIN-CONVERTING ENZYME,,,,,,P35747
3nxq,2010,Q42975,ANGIOTENSIN-CONVERTING ENZYME,,,,,,607
6h5x,2018,Q9Y2T3,ANGIOTENSIN-CONVERTING ENZYME,,,,,,Q9WMX2
2epn,2008,P31723,N-ACETYL-BETA-D-GLUCOSAMINIDASE,,,,,,3010
2rkd,2008,Q96PN6,PHOSPHOENOLPYRUVATE CARBOXYKINASE,,,,,,Q06GJ0
2rka,2008,P22832,PHOSPHOENOLPYRUVATE CARBOXYKINASE,,,,,,594
3mof,2010,Q60187,PHOSPHOENOLPYRUVATE CARBOXYKINASE,,,,,,Q10471
2rk8,2008,W5R8B8,PHOSPHOENOLPYRUVATE CARBOXYKINASE,,,,,,571
2rke,2008,C9EKP8,PHOSPHOENOLPYRUVATE CARBOXYKINASE,,,,,,Q9F4L3
1li6,2002,C6KQL9,T4 LYSOZYME,,,,,,563
1lgw,2002,F8UU09,T4 LYSOZYME,,,,,,Q14416
1li2,2002,C7FH46,T4 LYSOZYME,,,,,,872
1li3,2002,Q8A3I4,T4 LYSOZYME,,,,,,P14618
1thz,2004,Q08638,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,,,,,,531
2b1g,2006,U5XBU0,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,,,,,,P04585
2b1i,2006,Q3S340,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,,,,,,1435
1oz0,2003,P49841,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,,,,,,P06745
4ezz,2013,O53512,CHAPERONE PROTEIN DNAK,,,,,,558
4ezr,2013,P53779,CHAPERONE PROTEIN DNAK,,,,,,Q4W803
4ezx,2013,K4KA16,CHAPERONE PROTEIN DNAK,,,,,,564
4jne,2013,Q13451,CHAPERONE PROTEIN DNAK,,,,,,P34913
2x96,2010,Q4MV79,ANGIOTENSIN-CONVERTING ENZYME,,,,,,555
2x95,2010,Q9HZ64,ANGIOTENSIN-CONVERTING ENZYME,,,,,,P28327
2x97,2010,P0A4X6,ANGIOTENSIN-CONVERTING ENZYME,,,,,,561
4ca8,2013,P35790,ANGIOTENSIN-CONVERTING ENZYME,,,,,,O43614
2x91,2010,Q8WXF7,ANGIOTENSIN-CONVERTING ENZYME,,,,,,444
2xhm,2010,G0S8G9,ANGIOTENSIN-CONVERTING ENZYME,,,,,,Q9N1E2
4ca7,2013,P43889,ANGIOTENSIN-CONVERTING ENZYME,,,,,,558
1j36,2003,Q969R5,ANGIOTENSIN-CONVERTING ENZYME,,,,,,D0VX20
2x8z,2010,Q93YN9,ANGIOTENSIN-CONVERTING ENZYME,,,,,,558
1j37,2003,P50743,ANGIOTENSIN-CONVERTING ENZYME,,,,,,P06875
4cr9,2015,Q9V2Z6,COAGULATION FACTOR XI,,,,,,846
4cr5,2015,Q9R4E4,COAGULATION FACTOR XIA,,,,,,Q2PS28
6c0s,2018,Q9WYE2,COAGULATION FACTOR XI,,,,,,584
4cra,2015,P00634,COAGULATION FACTOR XI,,,,,,Q06124
4ty6,2014,Q9KDT3,COAGULATION FACTOR XI,,,,,,593
4crb,2015,Q6L8Q7,COAGULATION FACTOR XI,,,,,,P17109
5exn,2016,P34948,COAGULATION FACTOR XIA,,,,,,556
5exm,2016,Q59310,COAGULATION FACTOR XIA,,,,,,P16154
4x6m,2015,Q2XVP4,COAGULATION FACTOR XI,,,,,,2710
5exl,2016,P81947,COAGULATION FACTOR XIA,,,,,,Q06135
4y8x,2015,Q7D785,COAGULATION FACTOR XIA,,,,,,555
5e2o,2015,B0SWV2,COAGULATION FACTOR XIA,,,,,,Q00955
4x6o,2015,A5H660,COAGULATION FACTOR XI,,,,,,2233
4crc,2015,P76637,COAGULATION FACTOR XI,,,,,,P11142
5e2p,2015,Q43088,COAGULATION FACTOR XIA,,,,,,646
4x6n,2015,P10845,COAGULATION FACTOR XI,,,,,,P19120
4crf,2015,A5HZZ9,COAGULATION FACTOR XI,,,,,,650
4ty7,2014,P34752,COAGULATION FACTOR XI,,,,,,P00959
5uv2,2017,Q6PRR9,(+)-LIMONENE SYNTHASE,,,,,,677
1x38,2005,P17752,BETA-D-GLUCAN EXOHYDROLASE ISOENZYME EXOI,,,,,,P08659
1x39,2005,P49610,BETA-D-GLUCAN EXOHYDROLASE ISOENZYME EXOI,,,,,,550
3k4d,2010,P04035,BETA-GLUCURONIDASE,,,,,,Q386Q8
3k1j,2010,P15034,ATP-DEPENDENT PROTEASE LON,,,,,,545
6ep4,2017,Q6QT42,CHOLINESTERASE,,,,,,A6XFF7
6eqp,2017,Q04631,CHOLINESTERASE,,,,,,521
1wcq,2005,P07650,NEURAMINIDASE,,,,,,G4FEC0
1pkx,2004,I6Y8T4,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,,,,,,560
2x6x,2011,P9WQD9,TAILSPIKE PROTEIN HK620,,,,,,B2HVG8
2x0y,2010,B5ZAD9,O-GLCNACASE NAGJ,,,,,,0
2cbj,2006,P35844,O-GLCNACASE NAGJ,,,,,,Q9X0V0
2wb5,2009,P37821,O-GLCNACASE NAGJ,,,,,,557
2xpk,2011,P62694,O-GLCNACASE NAGJ,,,,,,Q2I2N4
2j62,2007,P56252,O-GLCNACASE NAGJ,,,,,,511
6f9u,2018,P32361,ANGIOTENSIN-CONVERTING ENZYME,,,,,,A7Y7W1
3bkk,2008,P61964,ANGIOTENSIN-CONVERTING ENZYME,,,,,,535
3bkl,2008,O60885,ANGIOTENSIN-CONVERTING ENZYME,,,,,,Q9SPP9
3l3n,2010,Q6NXE4,ANGIOTENSIN-CONVERTING ENZYME,,,,,,540
2oc2,2007,P16932,ANGIOTENSIN-CONVERTING ENZYME,,,,,,B3PBE0
4ca5,2013,Q873X9,ANGIOTENSIN-CONVERTING ENZYME,,,,,,575
1o86,2003,Q9Y5S2,ANGIOTENSIN-CONVERTING ENZYME,,,,,,O52575
3dri,2009,Q88E47,OLIGO-PEPTIDE BINDING PROTEIN (OPPA),,,,,,538
3drg,2009,Q38BV6,OLIGO-PEPTIDE BINDING PROTEIN (OPPA),,,,,,O75191
3drf,2009,Q9H7B4,OLIGO-PEPTIDE BINDING PROTEIN (OPPA),,,,,,536
5m77,2017,Q09431,"ALPHA-1,6-MANNANASE",,,,,,P00523
3i73,2010,P0A6D3,A-TYPE ATP SYNTHASE CATALYTIC SUBUNIT A,,,,,,533
3jrx,2010,Q93UV0,ACETYL-COA CARBOXYLASE 2,,,,,,P12931
3ppm,2011,Q53ZC8,FATTY-ACID AMIDE HYDROLASE 1,,,,,,536
1gpk,2002,P10384,ACETYLCHOLINESTERASE,,,,,,P13482
3zv7,2012,Q92UV8,ACETYLCHOLINESTERASE,,,,,,565
1gpn,2002,Q8TEK3,ACETYLCHOLINESTERASE,,,,,,P16098
5bwc,2015,O24319,ACETYLCHOLINESTERASE,,,,,,535
5nau,2018,Q9KPL5,ACETYLCHOLINESTERASE,,,,,,P20906
5nap,2018,Q8WUI4,ACETYLCHOLINESTERASE,,,,,,528
1h23,2002,P50440,ACETYLCHOLINESTERASE,,,,,,K7AGW3
1h22,2002,Q9Y823,ACETYLCHOLINESTERASE,,,,,,593
1.00E+66,2001,Q9QZ85,ACETYLCHOLINESTERASE,,,,,,Q86W56
6ezq,2017,Q8IWA4,SERUM ALBUMIN,,,,,,976
1hk4,2003,P35505,SERUM ALBUMIN,,,,,,Q8IL11
4ih5,2013,Q5NGA7,RNA-DIRECTED RNA POLYMERASE,,,,,,605
4ih6,2013,P08172,RNA-DIRECTED RNA POLYMERASE,,,,,,A0A024
4ih7,2013,P00558,RNA-DIRECTED RNA POLYMERASE,,,,,,354
3mf5,2010,P09411,RNA-DIRECTED RNA POLYMERASE,,,,,,P52293
2d3z,2006,P33038,RNA-DIRECTED RNA POLYMERASE,,,,,,529
1os5,2004,P0AG81,RNA-DIRECTED RNA POLYMERASE,,,,,,Q8A1G2
2d3u,2006,B3PGI1,RNA-DIRECTED RNA POLYMERASE,,,,,,551
3hky,2010,P11838,RNA-DIRECTED RNA POLYMERASE,,,,,,Q9Z4X2
3gnw,2009,P15085,RNA-DIRECTED RNA POLYMERASE,,,,,,524
3arx,2011,P0A749,CHITINASE A,,,,,,Q5ZVS2
3arw,2011,Q00972,CHITINASE A,,,,,,525
3arq,2011,P08200,CHITINASE A,,,,,,D0VX21
3arp,2011,Q460N5,CHITINASE A,,,,,,505
4m0e,2013,Q980A5,ACETYLCHOLINESTERASE,,,,,,Q80J95
4m0f,2013,Q14145,ACETYLCHOLINESTERASE,,,,,,1687
3hkw,2010,P56524,NS5B RNA-DEPENDENT RNA POLYMERASE,,,,,,Q1A2D0
2ha3,2006,Q86C09,ACETYLCHOLINESTERASE,,,,,,1352
2whp,2009,C6A6Z1,ACETYLCHOLINESTERASE,,,,,,P23843
2ha6,2006,P0A8M3,ACETYLCHOLINESTERASE,,,,,,543
2ha2,2006,P11309,ACETYLCHOLINESTERASE,,,,,,B8F653
1n5r,2003,P9WFY1,ACETYLCHOLINESTERASE,,,,,,531
4arb,2012,B0B0V1,ACETYLCHOLINESTERASE,,,,,,O67854
4ara,2012,P11021,ACETYLCHOLINESTERASE,,,,,,513
5ehq,2016,Q15119,ACETYLCHOLINESTERASE,,,,,,P77348
1q84,2004,Q15118,ACETYLCHOLINESTERASE,,,,,,537
3cj2,2008,P0A953,RNA-DIRECTED RNA POLYMERASE,,,,,,Q07820
1nhu,2003,P49336,RNA-DIRECTED RNA POLYMERASE,,,,,,350
3cj5,2008,Q93088,RNA-DIRECTED RNA POLYMERASE,,,,,,P06202
3cj4,2008,P53934,RNA-DIRECTED RNA POLYMERASE,,,,,,543
4eo8,2012,P00693,RNA-DIRECTED RNA POLYMERASE,,,,,,Q14832
4eo6,2012,P06280,RNA-DIRECTED RNA POLYMERASE,,,,,,879
5dqf,2015,A0QU89,SERUM ALBUMIN,,,,,,P05091
3fql,2009,P12694,RNA-DIRECTED RNA POLYMERASE,,,,,,517
