ID,length
611,318
612,976
613,400
614,409
615,622
616,468
617,325
618,80
619,0
620,984
621,565
622,535
623,1052
624,369
625,1430
626,505
627,462
628,321
629,293
630,320
631,301
632,987
633,297
634,330
635,545
636,576
637,441
638,541
639,299
640,0
641,227
642,300
643,859
644,504
645,299
646,428
647,303
648,278
649,318
650,1123
651,1167
652,1130
653,362
654,298
655,357
656,446
657,280
658,0
659,298
660,290
661,315
662,398
663,295
664,295
665,721
666,294
667,562
668,294
669,293
670,287
671,938
672,423
673,279
674,292
675,1002
676,1182
677,1128
678,770
679,0
680,330
681,368
682,289
683,646
684,260
685,311
686,824
687,518
688,595
689,297
690,328
691,267
692,804
693,460
694,1298
695,620
696,361
697,399
698,284
699,1464
700,306
701,282
702,283
703,900
704,283
705,447
706,454
707,920
708,902
709,471
710,307
711,265
712,293
713,461
714,273
715,264
716,777
717,883
718,480
719,337
720,888
721,403
722,261
723,3411
724,302
725,245
726,245
727,431
728,431
729,1038
730,252
731,292
732,441
733,268
734,257
735,273
736,264
737,252
738,331
739,91
740,270
741,271
742,296
743,268
744,268
745,883
746,290
747,270
748,266
749,266
750,270
751,247
752,277
753,0
754,293
755,691
756,3423
757,267
758,267
759,264
760,267
761,455
762,267
763,0
764,250
765,282
766,266
767,246
768,266
769,285
770,265
771,877
772,1007
773,260
774,0
775,379
776,264
777,264
778,283
779,265
780,732
781,585
782,278
783,262
784,264
785,2442
786,286
787,354
788,427
789,291
790,263
791,933
792,276
793,294
794,262
795,300
796,274
797,671
798,671
799,260
800,260
801,339
802,908
803,261
804,902
805,712
806,260
807,625
808,470
809,603
810,259
811,256
812,299
813,260
814,949
815,918
816,639
817,333
818,258
819,919
820,1327
821,283
822,257
823,598
824,257
825,285
826,257
827,459
828,956
829,444
830,262
831,380
832,417
833,255
834,340
835,315
836,466
837,488
838,662
839,253
840,562
841,228
842,426
843,252
844,251
845,458
846,250
847,250
848,324
849,0
850,231
851,246
852,648
853,248
854,289
855,240
856,248
857,0
858,895
859,248
860,248
861,248
862,247
863,246
864,252
865,243
866,246
867,275
868,275
869,275
870,229
871,0
872,232
873,230
874,244
875,722
876,231
877,231
878,115
879,129
880,246
881,244
882,243
883,412
884,242
885,281
886,242
887,236
888,209
889,556
890,855
891,793
892,266
893,709
894,1166
895,217
896,240
897,447
898,0
899,239
900,724
901,249
902,234
903,237
904,0
905,201
906,262
907,218
908,230
909,219
910,362
911,324
912,770
913,398
914,237
915,290
916,1531
917,454
918,216
919,216
920,248
921,255
922,235
923,486
924,461
925,235
926,226
927,226
928,4558
929,0
930,234
931,213
932,804
933,230
934,397
935,111
936,391
937,249
938,232
939,714
940,253
941,349
942,500
943,500
944,1435
945,230
946,107
947,230
948,394
949,331
950,246
951,331
952,230
953,246
954,229
955,229
956,236
957,560
958,228
959,302
960,242
961,216
962,227
963,254
964,227
965,227
966,247
967,1202
968,0
969,240
970,221
971,214
972,219
973,259
974,304
975,224
976,246
977,249
978,259
979,313
980,264
981,218
982,307
983,222
984,239
985,107
986,221
987,221
988,700
989,467
990,220
991,1203
992,219
993,219
994,393
995,117
996,3011
997,181
998,109
999,399
1000,218
1001,210
1002,216
1003,210
1004,638
1005,215
1006,215
1007,201
1008,215
1009,404
1010,214
1011,0
1012,214
1013,213
1014,212
1015,211
1016,211
1017,190
1018,210
1019,210
1020,889
1021,0
1022,210
1023,1010
1024,209
1025,240
1026,221
1027,202
1028,0
1029,218
1030,255
1031,502
1032,216
1033,205
1034,181
1035,353
1036,272
1037,360
1038,223
1039,204
1040,414
1041,481
1042,203
1043,1437
1044,99
1045,99
1046,400
1047,3010
1048,228
1049,216
1050,716
1051,251
1052,276
1053,200
1054,200
1055,198
1056,196
1057,198
1058,217
1059,269
1060,199
1061,197
1062,1412
1063,194
1064,0
1065,535
1066,273
1067,193
1068,192
1069,182
1070,0
1071,191
1072,1170
1073,0
1074,188
1075,189
1076,513
1077,402
1078,187
1079,187
1080,189
1081,668
1082,0
1083,184
1084,187
1085,187
1086,207
1087,233
1088,165
1089,189
1090,184
1091,184
1092,1050
1093,150
1094,183
1095,182
1096,182
1097,1003
1098,288
1099,1435
1100,243
1101,728
1102,183
1103,983
1104,182
1105,1023
1106,173
1107,297
1108,167
1109,261
1110,896
1111,159
1112,0
1113,0
1114,180
1115,180
1116,292
1117,0
1118,343
1119,250
1120,190
1121,156
1122,154
1123,154
1124,0
1125,267
1126,175
1127,770
1128,266
1129,477
1130,471
1131,172
1132,0
1133,172
1134,0
1135,239
1136,159
1137,193
1138,171
1139,118
1140,659
1141,469
1142,169
1143,175
1144,214
1145,4391
1146,163
1147,164
1148,158
1149,157
1150,579
1151,1659
1152,159
1153,1872
1154,470
1155,180
1156,162
1157,308
1158,472
1159,158
1160,467
1161,165
1162,165
1163,159
1164,164
1165,304
1166,201
1167,776
1168,759
1169,178
1170,160
1171,159
1172,156
1173,155
1174,776
1175,0
1176,0
1177,161
1178,0
1179,159
1180,159
1181,159
1182,0
1183,159
1184,147
1185,575
1186,923
1187,0
1188,157
1189,157
1190,157
1191,157
1192,176
1193,154
1194,801
1195,156
1196,150
1197,810
1198,155
1199,155
1200,132
1201,359
1202,323
1203,317
1204,559
1205,135
1206,152
1207,152
1208,152
1209,150
1210,163
1211,132
1212,152
1213,151
1214,778
1215,163
1216,1048
1217,147
1218,0
1219,165
1220,231
1221,222
1222,831
1223,292
1224,339
1225,123
1226,355
1227,142
1228,163
1229,568
1230,620
1231,706
1232,298
1233,135
1234,148
1235,136
1236,1740
1237,859
1238,135
1239,732
1240,421
1241,135
1242,133
1243,133
1244,151
1245,153
1246,133
1247,224
1248,684
1249,346
1250,129
1251,1733
1252,131
1253,543
1254,146
1255,756
1256,131
1257,0
1258,152
1259,497
1260,1390
1261,978
1262,148
1263,147
1264,129
1265,129
1266,340
1267,0
1268,0
1269,126
1270,127
1271,516
1272,154
1273,280
1274,116
1275,589
1276,154
1277,125
1278,491
1279,150
1280,150
1281,124
1282,1603
1283,150
1284,1689
1285,0
1286,356
1287,616
1288,597
1289,703
1290,1465
1291,115
1292,172
1293,122
1294,3414
1295,121
1296,121
1297,870
1298,789
1299,1064
1300,603
1301,736
1302,126
1303,119
1304,144
1305,0
1306,947
1307,123
1308,832
1309,123
1310,120
1311,1214
1312,130
1313,217
1314,2168
1315,1124
1316,119
1317,115
1318,112
1319,130
1320,669
1321,115
1322,0
1323,109
1324,1730
1325,837
1326,1447
1327,1447
1328,99
1329,1447
1330,99
1331,1447
1332,99
1333,99
1334,99
1335,122
1336,99
1337,99
1338,99
1339,99
1340,1436
1341,347
1342,509
1343,108
1344,473
1345,1215
1346,1905
1347,401
1348,130
1349,1146
1350,104
1351,124
1352,535
1353,499
1354,403
1355,101
1356,99
1357,99
1358,328
1359,100
1360,99
1361,1464
1362,99
1363,1435
1364,362
1365,1060
1366,317
1367,99
1368,99
1369,100
1370,99
1371,406
1372,109
1373,94
1374,92
1375,92
1376,618
1377,158
1378,251
1379,91
1380,299
1381,810
1382,119
1383,527
1384,1950
1385,2040
1386,77
1387,74
1388,102
1389,366
1390,77
1391,929
1392,419
1393,560
1394,651
1395,440
1396,755
